title,bechdel,year
Die Supernasen,1,1983
WarGames,1,1983
Christine,1,1983
Terms of Endearment,1,1983
Yellowbeard,1,1983
Wild Style,3,1983
Barefoot Gen,3,1983
Under Fire,1,1983
"Ballad of Narayama, The",3,1983
Breathless,0,1983
"Man With Two Brains, The",1,1983
Krull,1,1983
Superman III,3,1983
Deathstalker,1,1983
Star Wars: Episode VI - Return of the Jedi,1,1983
"Outsiders, The",2,1983
"Meaning of Life , The",1,1983
Mortelle randonn&eacute;e,3,1983
"Best Christmas Pageant Ever, The",3,1983
"Terminator, The",3,1984
A Private Function,3,1984
Nineteen Eighty-Four,1,1984
Godzilla 1985,0,1984
Zwei Nasen tanken Super,1,1984
"Natural, The",1,1984
Razorback,1,1984
Dune,3,1984
Police Academy,3,1984
Indiana Jones and the Temple of Doom,0,1984
"Silent Night, Deadly Night",3,1984
Non ci resta che piangere,1,1984
A Passage to India,3,1984
Children of the Corn,3,1984
Angel,3,1984
Blame It on Rio,3,1984
Bachelor Party,3,1984
"Neverending Story, The",1,1984
Trancers,1,1984
Splash,1,1984
"Bostonians, The",3,1984
Top Secret!,0,1984
Love Streams,3,1984
"Jewel in the Crown, The",3,1984
C.H.U.D.,2,1984
"Warrior and the Sorceress, The",0,1984
Best Defense,2,1984
Ghostbusters,2,1984
Body Double,2,1984
Gremlins,1,1984
Purple Rain,3,1984
Blood Simple.,1,1984
Amadeus,3,1984
Beverly Hills Cop,0,1984
What Have I Done to Deserve This?,3,1984
A Soldier&#39;s Story,0,1984
A nightmare on Elm Street,3,1984
Kaze no tani no Naushika,3,1984
Repo Man,2,1984
Emmanuelle IV,3,1984
Friday the 13th Part IV: The Final Chapter,3,1984
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",3,1984
This Is Spinal Tap,1,1984
"Muppets Take Manhattan, The",3,1984
Star Trek III: The Search for Spock,1,1984
"Ice Pirates, The",2,1984
2010,1,1984
Night of the Comet,3,1984
"Karate Kid, The",3,1984
Secret Places,3,1984
El pico 2,1,1984
All of Me,2,1984
Conan the Destroyer,3,1984
Starman,0,1984
Johnny Dangerously,3,1984
Once Upon A Time In America,1,1984
Marche &agrave; l&#39;ombre,1,1984
Revenge of the Nerds,1,1984
Sixteen Candles,3,1984
Poison for the Fairies,3,1984
"Last Starfighter, The",3,1984
Double Trouble,0,1984
"Philadelphia Experiment, The",1,1984
Protocol,3,1984
Rhinestone,3,1984
Los santos inocentes,3,1984
"Paris, Texas",1,1984
Another Country,0,1984
"Initiation, The",3,1984
Supergirl,3,1984
Romancing the Stone,3,1984
She,1,1984
"Trip To Bountiful, The",3,1985
Commando,1,1985
Howling II: ... Your Sister Is a Werewolf,2,1985
"Black Cauldron, The",3,1985
A Room with a View,3,1985
Back to the Future,2,1985
Purple Rose of Cairo,3,1985
Night on the Galactic Railroad,0,1985
Otac na sluzbenom putu,3,1985
Barbarian Queen,3,1985
Starchaser: The Legend of Orin,1,1985
Kiss of the Spider Woman,2,1985
White Nights,1,1985
Sans toi ni loi (Vagabond),3,1985
Return to Oz,3,1985
Spies Like Us,1,1985
"Legend of Billie Jean, The",3,1985
Friday the 13th: A New Beginning,3,1985
Phenomena,3,1985
Girls Just Want to Have Fun,3,1985
Red Sonja,3,1985
Out of Africa,3,1985
"Color Purple, The",3,1985
Day of the Dead,0,1985
Die Einsteiger,1,1985
My Beautiful Laundrette,2,1985
Ladyhawke,0,1985
Pale Rider,2,1985
"Goonies, The",3,1985
Les specialistes,0,1985
A Chorus Line,3,1985
Mr Vampire (Geung si sin sang),1,1985
La Negrita: the Miracle of Our Lady of Los Angeles,1,1985
Just One of the Guys,3,1985
"Official Story, The",3,1985
Agnes of God,3,1985
Tomo yo shizukani nemure,2,1985
Sweet Dreams,3,1985
Weird Science,3,1985
Detective,1,1985
"Quiet Earth, The",0,1985
"Treasure of Swamp Castle, The",2,1985
Wetherby,3,1985
Flesh+Blood,3,1985
Rocky IV,2,1985
Real Genius,1,1985
Ast&eacute;rix et la Surprise de C&eacute;asar (Asterix vs. Caesar),0,1985
"Last Dragon, The",3,1985
Ocean Drive Weekend,3,1985
Brazil,3,1985
Huang tudi (Yellow Earth),0,1985
Fright Night,2,1985
Pee-wee&#39;s Big Adventure,1,1985
Desert Hearts,3,1985
Enemy Mine,0,1985
Rambo: First Blood Part II,0,1985
Come and See,0,1985
Anne of Green Gables,3,1985
Dim Sum: A Little Bit of Heart,3,1985
Police Academy 2: Their First Assignment,1,1985
Legend,3,1985
Clue,3,1985
A View to a Kill,1,1985
Witness,3,1985
A Nightmare on Elm Street 2: Freddy&#39;s Revenge,3,1985
Angel&#39;s Egg,0,1985
Bebukottak,0,1985
Desperately Seeking Susan,3,1985
"Sure Thing, The",3,1985
After Hours,2,1985
Ran,1,1985
Better Off Dead,3,1985
Fletch,1,1985
"Care Bears Movie, The",3,1985
Teen Wolf,2,1985
Fandango,0,1985
Dreamchild,3,1985
Tampopo,1,1985
Ninja Terminator,2,1985
Re-Animator,0,1985
Esperando la carroza,3,1985
"Breakfast Club, The",3,1985
Captain EO,1,1986
Under the Cherry Moon,3,1986
"Fugitives, The",0,1986
Ferris Bueller&#39;s Day Off,3,1986
Pirates,0,1986
Jumpin&#39; Jack Flash,3,1986
Howard The Duck,3,1986
Little Shop of Horrors,1,1986
Top Gun,2,1986
From Beyond,3,1986
"Fly, The",2,1986
Asterix in Britain (Asterix chez les Bretons),0,1986
Ruthless People,3,1986
Aliens,3,1986
April Fool&#39;s Day,3,1986
Down by Law,1,1986
Project A-ko,3,1986
She&#39;s Gotta Have It,3,1986
"Adventures of Milo and Otis, The",1,1986
"Mission, The",0,1986
Highlander,2,1986
Children of a Lesser God,3,1986
Chopping Mall,3,1986
Cobra,1,1986
Manhunter,1,1986
Big Trouble in Little China,3,1986
"Defiant Ones, The",0,1986
Star Trek IV:  The Voyage Home,3,1986
"Delta Force, The",1,1986
"Parent Trap II, The",3,1986
When the Wind Blows,0,1986
Crocodile Dundee,3,1986
Friday the 13th Part VI: Jason Lives,3,1986
Macskafogo,1,1986
Pretty in Pink,3,1986
A Better Tomorrow,0,1986
"Great Mouse Detective, The",1,1986
Police Academy 3: Back in Training,1,1986
Peking Opera Blues,3,1986
Peggy Sue Got Married,3,1986
Iron Eagle,1,1986
"Money Pit, The",2,1986
Maximum Overdrive,2,1986
"Karate Kid, Part II, The",1,1986
Back to School,1,1986
Stand By Me,0,1986
Platoon,0,1986
Blue Velvet,1,1986
"Transformers: The Movie, The",0,1986
Tenk&ucirc; no shiro Rapyuta,3,1986
"Manhattan Project, The",2,1986
"No Retreat, No Surrender",0,1986
"&#39;night, Mother",3,1986
"Name Of The Rose, The",0,1986
Matador,3,1986
Labyrinth,3,1986
Armed and Dangerous,1,1986
SpaceCamp,3,1986
Hannah and Her Sisters,3,1986
Flight of the Navigator,3,1986
Short Circuit,3,1986
Deadly Friend,2,1986
Rosa Luxemburg,3,1986
Hour of the Star,3,1986
Critters,2,1986
About Last Night,3,1986
An American Tail,3,1986
Kin-Dza-Dza,0,1986
Il caso Moro,0,1986
!Three Amigos!,2,1986
Terrorizers,2,1986
F/X,1,1986
"Clan of the Cave Bear, The",3,1986
I&#39;ve Heard the Mermaids Singing,3,1987
September,3,1987
"Wonderful Wizard of Oz, The",3,1987
Au Revoir Les Enfants,1,1987
"Secret of My Succe$s, The",1,1987
Light of Day,3,1987
Bad Taste,0,1987
Hansel and Gretel,3,1987
Black Widow,3,1987
Evil Dead II,3,1987
Fatal Attraction,3,1987
Lethal Weapon,1,1987
Outrageous Fortune,3,1987
Beverly Hills Cop II,1,1987
Creepshow 2,3,1987
Hellraiser,3,1987
"Whales Of August, The",3,1987
El bosque animado,3,1987
Fatal Beauty,2,1987
A Better Tomorrow II,0,1987
"Princess Bride, The",2,1987
"Planes, Trains &amp; Automobiles",1,1987
84 Charing Cross Road,3,1987
Hard Ticket to Hawaii,3,1987
Deathstalker II,3,1987
Wings of Desire,0,1987
Throw Momma from the Train,1,1987
A Nightmare on Elm Street 3: Dream Warriors,3,1987
"Good Morning, Vietnam",1,1987
Radio Days,1,1987
Prince of Darkness,3,1987
"Witches of Eastwick, The",3,1987
Empire of the Sun,1,1987
"Chipmunk Adventure, The",3,1987
Babette&#39;s Feast,3,1987
Can&#39;t Buy Me Love,3,1987
"No Retreat, No Surrender 2",1,1987
Amazon Women on the Moon,2,1987
"Running Man, The",3,1987
Broadcast News,3,1987
Withnail &amp; I,1,1987
Maurice,2,1987
Dragnet,3,1987
Dirty Dancing,3,1987
Around the World in Eighty Ways,3,1987
My Demon Lover,2,1987
La ley del deseo,3,1987
Barbie and the Rockers: Out of This World,3,1987
Masters of the Universe,3,1987
Superman IV: The Quest for Peace,3,1987
"Gate, The",2,1987
Bagdad Cafe,3,1987
"Last Emperor, The",3,1987
Epidemic,1,1987
Waiting for the Moon,3,1987
Full Metal Jacket,0,1987
3 Men and a Baby,1,1987
Hope and Glory,3,1987
Casanova,2,1987
Emmanuelle 5,0,1987
Raising Arizona,3,1987
House II: The Second Story,3,1987
Jaws: The Revenge,3,1987
House of Games,3,1987
Nice Girls Don&#39;t Explode,3,1987
Adventures in Babysitting,3,1987
"Lost Boys, The",1,1987
Housekeeping,3,1987
High Tide,3,1987
Ngati,3,1987
Moonstruck,3,1987
Baby Boom,3,1987
Predator,0,1987
Overboard,3,1987
Swimming to Cambodia,0,1987
Spaceballs,3,1987
RoboCop,1,1987
Police Academy 4: Citizens on Patrol,1,1987
Angel Heart,1,1987
Bull Durham,2,1988
"Bourne Identity, The",0,1988
Killer Klowns from Outer Space,0,1988
My Stepmother Is an Alien,3,1988
Tonari no Totoro,3,1988
Beaches,3,1988
Wong gok ka moon,0,1988
Beetle Juice,3,1988
Earth Girls Are Easy,2,1988
"Land Before Time, The",3,1988
Rock &#39;n&#39; Roll Mom,3,1988
Scooby-Doo and the Ghoul School,3,1988
"Naked Gun: From the Files of Police Squad!, The",1,1988
Igla,0,1988
Two Moon Junction,3,1988
Young Guns,1,1988
Grave of the Fireflies,0,1988
A Nightmare on Elm Street 4: The Dream Master,3,1988
Bloodsport,1,1988
Heathers,3,1988
Satisfaction,3,1988
Married to the Mob,3,1988
"Bear, The",0,1988
Mystic Pizza,3,1988
Action Jackson,1,1988
Dead Ringers,2,1988
Gakk&ocirc; no kaidan G,0,1988
Another Woman,3,1988
World Gone Wild,3,1988
Gorillas in the Mist,3,1988
Big,1,1988
Child&#39;s Play,3,1988
Hairspray,3,1988
"Accused, The",3,1988
Lady in White,1,1988
L&#39;etudiante,3,1988
Pumpkinhead,3,1988
Rain Man,1,1988
Rambo III,0,1988
Vibes,1,1988
Critters 2,3,1988
Dangerous Liaisons,3,1988
They Live,0,1988
Spoorloos,1,1988
Willow,3,1988
Maniac Cop,3,1988
Police Academy 5: Assignment: Miami Beach,1,1988
Big Business,3,1988
Midnight Run,2,1988
A Fish Called Wanda,3,1988
Who Framed Roger Rabbit,1,1988
Appleseed,3,1988
Die Hard,3,1988
"Big Blue, The",2,1988
Remando al viento [Rowing with the Wind],2,1988
Sticky Fingers,3,1988
"Distant Voices, Still Lives",3,1988
Scrooged,3,1988
Hiroshima Maiden,3,1988
&#39;Gator Bait 2: Cajun Justice,0,1988
Red Scorpion,0,1988
Caddyshack II,3,1988
"Sisterhood, The",3,1988
Coming to America,3,1988
Working Girl,3,1988
Feds,3,1988
Twins,3,1988
Alien Nation,1,1988
Emmanuelle 6,3,1988
Hell Comes to Frogtown,3,1988
"Adventures of Baron Munchausen, The",1,1988
Hellbound: Hellraiser II,1,1988
Crossing Delancey,3,1988
Oliver &amp; Company,2,1988
"Last Temptation of Christ, The",2,1988
Akira,1,1988
"Accidental Tourist, The",2,1988
Cinema Paradiso,1,1988
Torch Song Trilogy,1,1988
Elvira: Mistress of the Dark,3,1988
Women on the Verge of a Nervous Breakdown,3,1988
Poltergeist III,3,1988
Fat Man and Little Boy,1,1989
"Seventh Continent, The",3,1989
Wild Orchid,3,1989
Celia,3,1989
Road House,1,1989
Farewell to the King,0,1989
Troop Beverly Hills,3,1989
Batman,1,1989
Millennium,3,1989
Leningrad Cowboys Go America,0,1989
National Lampoon&#39;s Christmas Vacation,3,1989
Blind Fury,1,1989
A Nightmare on Elm Street 5: The Dream Child,3,1989
Teen Witch,3,1989
"Killer, The",0,1989
Godzilla vs. Biollante,3,1989
Uncle Buck,3,1989
Licence to Kill,2,1989
Bill &amp; Ted&#39;s Excellent Adventure,2,1989
My Left Foot,3,1989
Drugstore Cowboy,2,1989
Steel Magnolias,3,1989
"Little Mermaid, The",3,1989
Majo no takky&ucirc;bin (Kiki&#39;s Delivery Service),3,1989
When Harry Met Sally,3,1989
Glory,0,1989
"Return of Swamp Thing, The",3,1989
Loverboy,3,1989
Weekend at Bernie&#39;s,1,1989
Dead Poets Society,1,1989
Ghostbusters II,2,1989
Dead Calm,0,1989
Police Academy 6: City Under Siege,1,1989
Do the Right Thing,2,1989
"&#39;Burbs, The",1,1989
Born on the Fourth of July,3,1989
Turner &amp; Hooch,1,1989
Meet The Feebles,3,1989
She-Devil,3,1989
Friday the 13th Part VIII: Jason Takes Manhattan,3,1989
"Delinquents, The",3,1989
Star Trek V: The Final Frontier,1,1989
All Dogs Go to Heaven,3,1989
"Honey, I Shrunk the Kids",3,1989
Let It Ride,2,1989
Resan till Melonia,1,1989
Say Anything...,2,1989
"Punisher, The",1,1989
Chopper Chicks in Zombietown,3,1989
UHF,1,1989
Field of Dreams,2,1989
Mystery Train,3,1989
Henry V,3,1989
"Return of Swamp Thing, The",1,1989
Savage Beach,3,1989
Fletch Lives,1,1989
Major League,1,1989
Tango &amp; Cash,0,1989
Driving Miss Daisy,3,1989
"Get Smart, Again!",3,1989
Kickboxer,0,1989
Back to the Future Part II,3,1989
Oranges Are Not The Only Fruit,3,1989
Babar: The Movie,3,1989
Indiana Jones and the Last Crusade,0,1989
Shag,3,1989
"Karate Kid Part III, The",0,1989
Leviathan,3,1989
Przesluchanie,3,1989
Shirley Valentine,3,1989
Crimes and Misdemeanors,3,1989
"Cook, the Thief, His Wife &amp; Her Lover, The",1,1989
Lethal Weapon 2,3,1989
"Sex, Lies, and Videotape",2,1989
"Abyss, The",3,1989
"Dream Team, The",0,1989
Where the Heart Is,3,1990
"Handmaid&#39;s Tale, The",3,1990
Stella,2,1990
Europa Europa,2,1990
Rosencrantz &amp; Guildenstern Are Dead,1,1990
Delta Force 2: The Colombian Connection,1,1990
Mindwalk,3,1990
Mermaids,3,1990
Hidden Agenda,3,1990
Metropolitan,3,1990
Joe Versus the Volcano,2,1990
"Godfather: Part III, The",3,1990
"Long Walk Home, The",3,1990
Goodfellas,3,1990
"No Retreat, No Surrender 3: Blood Brothers",0,1990
"Reflecting Skin, The",1,1990
Class of 1999,2,1990
Happily Ever After,3,1990
Jacob&#39;s Ladder,1,1990
Dragon Ball Z: Bardock - The Father of Goku,0,1990
Die Hard 2,3,1990
Child&#39;s Play 2,3,1990
"Nasty Girl (Das schreckliche M&auml;dchen), The",3,1990
Dragon Ball Z: The Movie - The Tree of Might,1,1990
Hiroshima: Out of the Ashes,3,1990
Flatliners,3,1990
Bimbos B.C.,3,1990
Cry-Baby,3,1990
Home Alone,3,1990
Dances with Wolves,1,1990
Tremors,3,1990
"I, the Worst of All",3,1990
Lionheart,1,1990
Kindergarten Cop,3,1990
Qin yong,3,1990
I love you to death,3,1990
Back to the Future Part III,1,1990
Paris is Burning,3,1990
Darkman,0,1990
Misery,1,1990
"Witches, The",3,1990
Predator 2,2,1990
Dark Angel (I Come in Peace),0,1990
Barbarian Queen II: The Empress Strikes Back,3,1990
Navy Seals,0,1990
An Angel at My Table,3,1990
Lord of the Flies,0,1990
Naked Tango,1,1990
"Hunt for Red October, The",1,1990
RoboCop 2,1,1990
Alice,3,1990
Miller&#39;s Crossing,0,1990
Wild at Heart,2,1990
Strangers in Good Company,3,1990
Presumed Innocent,1,1990
I Hired a Contract Killer,0,1990
Teenage Mutant Ninja Turtles,2,1990
Nikita,3,1990
Total Recall,1,1990
Close-Up,1,1990
Criminal Justice,3,1990
"Sheltering Sky, The",0,1990
A Little Night Music,3,1990
"Bonfire of the Vanities, The",2,1990
Troll 2,3,1990
Edward Scissorhands,3,1990
"Welcome Home, Roxy Carmichael",3,1990
Ghost,3,1990
Life Is Sweet,3,1990
"Russia House, The",0,1990
Postcards from the Edge,3,1990
Air America,0,1990
Pretty Woman,3,1990
Bullet in the Head,1,1990
"Rescuers Down Under, The",1,1990
Rocky V,0,1990
White Hunter Black Heart,1,1990
A Tale of Springtime,3,1990
"Match Factory Girl, The",3,1990
It,1,1990
Portrait of a Marriage,3,1990
Cape Fear,3,1991
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3,1991
Fried Green Tomatoes,3,1991
Freddy&#39;s Dead: The Final Nightmare,2,1991
Bill &amp; Ted&#39;s Bogus Journey,1,1991
Double Impact,1,1991
Thelma &amp; Louise,3,1991
Riff-Raff,0,1991
"Manta, Manta",3,1991
Omohide poro poro,3,1991
Boyz n the Hood,2,1991
Don&#39;t Tell Mom the Babysitter&#39;s Dead,3,1991
Oscar,2,1991
"Object of Beauty, The",3,1991
Black Robe,1,1991
Hot Shots!,1,1991
Madonna: Truth or Dare,3,1991
"Lovers on the Bridge, The",1,1991
Robin Hood: Prince of Thieves,3,1991
Until the End of the World,3,1991
Deathstalker IV: Match of Titans,1,1991
Salmonberries,3,1991
White Fang,1,1991
JFK,3,1991
Barton Fink,1,1991
Into The Woods,3,1991
Paprika,3,1991
Hook,2,1991
Star Trek VI: The Undiscovered Country,2,1991
Highlander II,1,1991
Defending Your Life,3,1991
Europa,0,1991
Rubin and Ed,0,1991
Impromptu,3,1991
Samurai Cop,1,1991
"People Under the Stairs, The",3,1991
&#39;Merci la vie&#39;,3,1991
"Princess and the Goblin, The",3,1991
Nekromantik 2,1,1991
"Last Boy Scout, The",3,1991
Raise the Red Lantern,3,1991
Daughters of the Dust,3,1991
Motorama,1,1991
Tacones Lejanos,3,1991
"Rocketeer, The",1,1991
Life Stinks,0,1991
Hudson Hawk,3,1991
Dick Tracy,1,1991
"Double Life of Veronique, The",3,1991
Kickboxer 2: The Road Back,0,1991
My Own Private Idaho,1,1991
Night on Earth,3,1991
Other People's Money,3,1991
"Five Heartbeats, The",1,1991
An American Tail: Fievel Goes West,3,1991
Soapdish,3,1991
Frankie and Johnny,1,1991
Delirious,1,1991
Neon City,3,1991
"Fisher King, The",3,1991
Terminator 2: Judgement Day,3,1991
"Silence of the Lambs, The",3,1991
City Slickers,3,1991
Dragon Ball Z: Cooler&#39;s Revenge,0,1991
Beauty and the Beast,3,1991
Toy Soldiers,0,1991
"Addams Family, The",3,1991
Delta Force 3: The Killing Game,0,1991
Point Break,0,1991
L.A. Story,3,1991
My Girl,3,1991
Mediterraneo,2,1991
Lethal Games,3,1991
Doc Hollywood,1,1991
"Linguini Incident, The",3,1991
Critters 3,3,1991
"Naked Gun 2 1/2: The Smell of Fear, The",1,1991
Hachi-gatsu no rapusodi,3,1991
Closet Land,0,1991
Robin Hood,1,1991
What About Bob?,2,1991
Shakes the Clown,3,1991
Slacker,3,1991
Flirting,2,1991
"Mighty Ducks, The",1,1992
Home Alone 2: Lost in New York,3,1992
Full Contact,1,1992
Freddie as F.R.O.7.,1,1992
Glengarry Glen Ross,0,1992
Aladdin,0,1992
Strictly Ballroom,1,1992
King of Beggars,2,1992
Malcolm X,3,1992
"Cutting Edge, The",3,1992
Boomerang,3,1992
My Cousin Vinny,1,1992
Orlando,2,1992
"Lover / L&#39;amant, The",1,1992
Gas Food Lodging,3,1992
Candyman,3,1992
A League of Their Own,3,1992
"Bodyguard, The",2,1992
Encino Man,1,1992
Sister Act,3,1992
Passenger 57,1,1992
Reservoir Dogs,0,1992
Stay Tuned,2,1992
Leaving Normal,3,1992
Buffy the Vampire Slayer,3,1992
Newsies,1,1992
HouseSitter,1,1992
Army of Darkness,2,1992
This is My Life,3,1992
Dragon Inn,3,1992
Leap of Faith,2,1992
Peter&#39;s Friends,3,1992
Dragon Ball Z: The Return of Cooler,0,1992
Straight Talk,3,1992
Baraka,0,1992
Howards End,3,1992
Como agua para chocolate,3,1992
"Muppet Christmas Carol, The",3,1992
Critters 4,1,1992
Hard Boiled,0,1992
"Player, The",3,1992
Enchanted April,3,1992
Alien 3,0,1992
Doragon b&ocirc;ru Z: Atsumare! Gok&ucirc; W&acirc;rudo,0,1992
Death Becomes Her,3,1992
Bob Roberts,1,1992
Tom and Jerry: The Movie,3,1992
Batman Returns,0,1992
Schtonk,3,1992
"Lawnmower Man, The",1,1992
FernGully: The Last Rainforest,3,1992
Unforgiven,3,1992
Dien Bien Phu,0,1992
"Crying Game, The",2,1992
Stop! Or My Mom Will Shoot,2,1992
Un Coeur en Hiver,3,1992
Twin Peaks: Fire Walk With Me,3,1992
Scent of a Woman,1,1992
Porco Rosso (Kurenai no Buta),1,1992
Hero,1,1992
Husbands and Wives,3,1992
Dead Alive,3,1992
El Mariachi,0,1992
A River Runs Through It,2,1992
Passion Fish,3,1992
Bitter Moon,3,1992
Ladybugs,3,1992
Wayne&#39;s World,1,1992
Just another girl on the I.R.T,1,1992
Toys,3,1992
Damage,3,1992
Chaplin,1,1992
A Few Good Men,1,1992
"Bikini Carwash Company, The",3,1992
"Last of the Mohicans, The",2,1992
Hellraiser III: Hell on Earth,3,1992
Basic Instinct,1,1992
Sneakers,1,1992
Dracula,3,1992
Split Second,0,1992
Sarafina!,3,1992
Single White Female,3,1992
Singles,2,1992
Body of Evidence,3,1993
"Trial, The",1,1993
"Remains of the Day, The",1,1993
Jurassic Park,3,1993
Sister Act 2: Back in the Habit,3,1993
La casa de los esp&iacute;ritus,3,1993
"Fugitive, The",2,1993
Dave,3,1993
Demolition Man,0,1993
Last Action Hero,1,1993
Cliffhanger,1,1993
Bhaji on the Beach,3,1993
Point of No Return/The Assassin,3,1993
Kika,3,1993
Sliver,3,1993
Homeward Bound: The Incredible Journey,1,1993
In the Name of the Father,2,1993
What&#39;s Eating Gilbert Grape,3,1993
Heart and Souls,2,1993
"Man Without a Face, The",1,1993
Fatal Instinct,3,1993
"Wedding Banquet, The",3,1993
Philadelphia,2,1993
"Making of &#39;...And God Spoke&#39;, The",1,1993
Mrs. Doubtfire,3,1993
"Firm, The",3,1993
Dragon: The Bruce Lee Story,3,1993
"Heroic Trio, The",3,1993
Ruby in Paradise,3,1993
Indian Summer,3,1993
Farewell My Concubine,0,1993
Three Colors: Blue,3,1993
"Nightmare Before Christmas, The",1,1993
Benny &amp; Joon,1,1993
Sonatine,0,1993
Rising Sun,1,1993
Dragon Ball Z: The History of Trunks,1,1993
"Sandlot, The",0,1993
Once Upon a Forest,3,1993
"Age of Innocence, The",3,1993
Fei hu wai zhuan,2,1993
Arctic Blue,1,1993
Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n R (Sailor Moon R the Movie: The Promise of the Rose),3,1993
Space Zombie Bingo!!!,0,1993
Heaven &amp; Earth,2,1993
RoboCop 3,3,1993
Sleepless in Seattle,2,1993
Body Bags,1,1993
Much Ado About Nothing,1,1993
Batman: Mask of the Phantasm,0,1993
Heidi,3,1993
Death Train,3,1993
"Secret Garden, The",3,1993
Hot Shots! Part Deux,3,1993
Gypsy,3,1993
"Princess and the Cobbler, The",0,1993
A perfect world,1,1993
Indien,0,1993
Boxing Helena,1,1993
Undercover Blues,1,1993
"Joy Luck Club, The",3,1993
"Pelican Brief, The",3,1993
"Beverly Hillbillies, The",3,1993
Schindler&#39;s List,3,1993
Mi vida loca,3,1993
Cannibal! The Musical,0,1993
Poetic Justice,3,1993
"I Killed My Lesbian Wife, Hung Her on a Meathook, and Now I Have a Three Picture Deal at Disney",3,1993
Fear of a Black hat,1,1993
Hocus Pocus,3,1993
Even Cowgirls Get The Blues,3,1993
"Evil Cult, The",3,1993
Swing Kids,1,1993
Telling Secrets,3,1993
Dazed and Confused,3,1993
Super Mario Bros.,3,1993
Robin Hood: Men in Tights,3,1993
What&#39;s Love Got to Do with It,3,1993
Untamed Heart,3,1993
Short Cuts,3,1993
Little Buddha,1,1993
Gettysburg,0,1993
Hard Target,1,1993
Manhattan Murder Mystery,3,1993
Cool Runnings,1,1993
In the Line of Fire,1,1993
Tombstone,3,1993
True Romance,1,1993
"Blood In, Blood Out",0,1993
Indecent Proposal,0,1993
Bad Boy Bubby,1,1993
Naked,3,1993
Umi ga kikoeru,3,1993
Six Degrees of Separation,3,1993
Groundhog Day,2,1993
"Piano, The",3,1993
Matinee,1,1993
Pieces of April,3,1993
Addams Family Values,3,1993
Coneheads,3,1993
Body Snatchers,3,1993
Searching for Bobby Fischer,0,1993
"Little Rascals, The",2,1994
"Professional, The",3,1994
Getting Any?,0,1994
Picture Bride,3,1994
Star Trek Generations,3,1994
Reality Bites,3,1994
"Fantastic Four, The",1,1994
Little Women,3,1994
It&#39;s Pat,3,1994
"Return of Jafar, The",0,1994
Revenge of the Musketeers,3,1994
"Hudsucker Proxy, The",1,1994
I Like It Like That,3,1994
Wrony,3,1994
Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n S (Sailor Moon S the Movie: Hearts in Ice),3,1994
Natural Born Killers,3,1994
Men of War,1,1994
In the Mouth of Madness,1,1994
Trading Mom,3,1994
Ed Wood,3,1994
"Corrina, Corrina",3,1994
Interview with the Vampire,1,1994
Drop Zone,2,1994
Chungking Express,1,1994
Brainscan,1,1994
Quiz Show,2,1994
Amateur,3,1994
"Adventures of Priscilla, Queen of the Desert, The",3,1994
"Santa Clause, The",1,1994
D2: The Mighty Ducks,1,1994
Go Fish,3,1994
Kan du vissla Johanna?,0,1994
Runaway Daughters,3,1994
Stargate,1,1994
No Escape,0,1994
True Lies,3,1994
Sirens,3,1994
Heavenly Creatures,3,1994
Clear and Present Danger,0,1994
Serial Mom,3,1994
Timecop,1,1994
Mina Tannenbaum,3,1994
"Legend of Drunken Master, The",3,1994
"Specialist, The",1,1994
J&#39;ai pas sommeil,3,1994
"Flintstones, The",3,1994
Birds 2: Land&#39;s End,3,1994
Felidae,1,1994
"Next Karate Kid, The",3,1994
Angels in the Outfield,1,1994
Crooklyn,3,1994
Street Fighter,3,1994
Die gottliche Ordnung,3,1994
Eat Drink Man Woman,3,1994
"Mask, The",1,1994
Heisei tanuki gassen pompoko,1,1994
Forrest Gump,1,1994
Sister My Sister,3,1994
"Pagemaster, The",1,1994
"Last Seduction, The",1,1994
"Shadow, The",0,1994
Blue Sky,3,1994
Four Weddings and a Funeral,3,1994
Clerks.,1,1994
"Lion King, The",1,1994
It Could Happen to You,1,1994
Dias contados,3,1994
See How They Fall,1,1994
Miracle on 34th Street,3,1994
Naked Gun 33 1/3: The Final Insult,2,1994
Giorgino,3,1994
Color of Night,3,1994
Legends of the Fall,3,1994
Vive L&#39;Amour,0,1994
Ace Ventura: Pet Detective,2,1994
Legend of the Red Dragon / Hong Xi Guan: Zhi Shao Lin wu zu,3,1994
Black Beauty,3,1994
"Shawshank Redemption, The",0,1994
Muriel&#39;s Wedding,3,1994
Three Colors: White,1,1994
A.P.E.X.,1,1994
Twilight Zone: Rod Serling&#39;s Lost Classics,2,1994
Airheads,1,1994
"Road to Wellville, The",3,1994
New Nightmare,3,1994
Death and the Maiden,0,1994
"Stand, The",3,1994
"Client, The",3,1994
Pulp Fiction,3,1994
"Crow, The",3,1994
Don&#39;t Drink the Water,1,1994
Voll normaaal,1,1994
Bad Girls,3,1994
Beverly Hills Cop III,0,1994
Lakota Woman: Siege at Wounded Knee,3,1994
Police Academy: Mission to Moscow,1,1994
Dumb &amp; Dumber,2,1994
Uncovered,3,1994
